Id,MSZoning,LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Foundation,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,PavedDrive,CentralAir,KitchenQual,SalePrice
1,RL,9302,Indiranagar,1Fam,1Story,7,4,1980,1989,PConc,1012.0,1148,675,1823,2,0,2,6,2,0.0,26.0,Y,Y,TA,12203945
2,RM,6561,Andheri,Duplex,1Story,8,8,2000,2017,CBlock,1200.0,819,790,1609,2,0,4,7,0,0.0,,Y,Y,Gd,11443647
3,RL,9387,Malad,Duplex,1Story,6,4,1997,2012,CBlock,922.0,1033,304,1337,1,1,5,7,0,3.0,515.0,Y,Y,Gd,9557198
4,C,5889,Whitefield,1Fam,2Story,6,5,2013,2020,PConc,1049.0,1594,275,1869,3,1,2,6,1,0.0,0.0,Y,Y,Ex,17646797
5,RL,7319,Indiranagar,1Fam,1Story,10,9,1975,1975,PConc,937.0,1726,203,1929,1,1,4,6,1,3.0,683.0,Y,N,Gd,12795155
6,RL,8142,Viman Nagar,Duplex,1Story,6,6,2010,2021,BrkTil,576.0,634,429,1063,1,0,3,6,1,,360.0,Y,N,TA,10036344
7,RL,8569,Koramangala,1Fam,1Story,4,6,1985,1992,PConc,998.0,1225,718,1943,3,0,5,9,1,0.0,,Y,Y,Ex,14884543
8,RM,8243,Indiranagar,1Fam,2Story,6,5,1973,1988,CBlock,716.0,1152,372,1524,3,0,2,6,0,3.0,649.0,Y,Y,TA,12464964
9,RM,6334,Malad,1Fam,SplitLevel,5,3,2004,2021,PConc,1124.0,1072,540,1612,3,0,2,6,0,1.0,230.0,Y,Y,Gd,10247451
10,RL,9187,Whitefield,1Fam,2Story,10,9,2017,2020,PConc,579.0,1076,81,1157,2,0,2,5,0,2.0,,Y,Y,TA,13015083
11,RL,6751,Andheri,1Fam,1Story,3,8,1995,2000,CBlock,814.0,1031,369,1400,1,0,2,4,1,3.0,594.0,Y,Y,Gd,10254450
12,RL,5861,Malad,1Fam,1Story,6,5,1981,1992,PConc,600.0,975,109,1084,2,1,5,9,0,2.0,470.0,Y,Y,TA,8410210
13,FV,5891,Malad,1Fam,SplitLevel,8,8,1980,1988,PConc,840.0,837,223,1060,3,1,5,10,2,1.0,201.0,Y,N,TA,7926137
14,RM,10879,Koramangala,1Fam,1Story,3,7,2006,2020,PConc,994.0,1585,203,1788,2,0,3,6,1,1.0,271.0,Y,Y,TA,11543695
15,RL,5516,Powai,1Fam,1Story,4,6,1994,2009,BrkTil,614.0,947,475,1422,3,1,3,7,2,3.0,674.0,Y,Y,TA,11717166
16,RL,9583,Whitefield,1Fam,1Story,8,8,1987,1998,BrkTil,414.0,869,81,950,3,1,3,8,1,3.0,553.0,Y,Y,Ex,13285318
17,RL,4729,Bandra,1Fam,2Story,3,4,1988,2001,CBlock,1710.0,1713,975,2688,1,1,4,7,0,1.0,185.0,Y,N,Fa,12035085
18,C,7975,Malad,1Fam,1Story,8,8,1992,2004,CBlock,663.0,801,236,1037,1,1,3,6,1,3.0,632.0,Y,Y,TA,8777409
19,RL,7594,Powai,1Fam,1Story,4,7,2007,2008,CBlock,,1302,844,2146,1,0,5,7,2,1.0,123.0,Y,Y,TA,11503769
20,RM,10242,Bandra,1Fam,2Story,10,9,1987,1989,BrkTil,493.0,635,226,861,2,1,4,7,1,0.0,0.0,Y,Y,TA,11583253
21,RL,5691,Whitefield,1Fam,2Story,5,6,1995,2004,CBlock,770.0,1204,624,1828,1,0,5,7,2,3.0,,Y,N,Gd,11888085
22,RL,5138,Saket,Duplex,2Story,4,5,1975,1983,CBlock,894.0,933,541,1474,3,0,4,8,0,2.0,368.0,Y,Y,Ex,9761107
23,RL,6766,Viman Nagar,1Fam,1Story,4,7,1973,1992,PConc,773.0,1263,22,1285,1,1,3,5,2,1.0,229.0,Y,Y,TA,9822590
24,C,10329,Powai,Apartment,2Story,8,6,2013,2020,PConc,780.0,984,714,1698,2,0,3,6,0,0.0,0.0,Y,Y,Fa,11627841
25,FV,5231,Sector17,1Fam,1Story,10,8,2020,2024,CBlock,,1457,174,1631,1,1,3,6,2,3.0,,N,Y,Ex,14567983
26,RL,2000,Saket,Apartment,2Story,9,9,1998,2016,PConc,536.0,1183,10,1193,1,0,4,7,0,1.0,237.0,Y,N,TA,7218487
27,RL,7119,Viman Nagar,1Fam,2Story,7,3,2003,2005,PConc,515.0,597,574,1171,1,0,5,7,2,0.0,68.0,Y,Y,TA,10623902
28,RL,8899,Koramangala,1Fam,1Story,6,9,1986,1990,CBlock,523.0,690,123,813,2,1,2,5,0,3.0,564.0,Y,Y,Fa,7666979
29,RM,4972,Indiranagar,1Fam,1Story,6,3,2012,2014,PConc,838.0,1097,655,1752,3,1,5,9,0,1.0,139.0,Y,N,Gd,14429573
30,RM,8695,Andheri,Apartment,1Story,5,4,2012,2024,CBlock,487.0,506,467,973,3,0,3,8,0,1.0,198.0,Y,Y,Ex,13206422
31,RL,4928,Sector17,1Fam,1Story,5,9,2022,2024,PConc,751.0,1123,478,1601,3,1,4,9,2,1.0,223.0,Y,N,Gd,10188544
32,RL,6706,Koramangala,Apartment,1Story,6,6,1985,1999,CBlock,1484.0,1834,62,1896,1,0,4,7,2,3.0,563.0,Y,Y,TA,13381830
33,C,8505,Whitefield,1Fam,2Story,7,3,1971,1973,PConc,1264.0,862,842,1704,1,1,3,6,0,0.0,83.0,N,Y,Fa,8700952
34,RM,4625,Koramangala,Duplex,1Story,6,5,2003,2014,BrkTil,,982,256,1238,2,0,4,7,1,1.0,192.0,Y,Y,TA,10649392
35,RL,7363,Indiranagar,Apartment,SplitLevel,9,6,1977,1985,PConc,1090.0,1541,513,2054,3,0,3,8,0,0.0,0.0,Y,Y,Fa,11890576
36,RM,9429,Whitefield,Apartment,1Story,7,5,1982,1993,CBlock,675.0,1307,89,1396,1,0,5,8,1,0.0,96.0,Y,N,TA,9823279
37,C,7947,Sector17,Duplex,1Story,5,9,2011,2024,CBlock,556.0,505,427,932,1,0,4,6,0,,463.0,Y,N,TA,8140504
38,RL,5558,Indiranagar,1Fam,1Story,3,5,1977,1978,PConc,594.0,1225,233,1458,1,0,2,4,2,0.0,0.0,N,Y,Ex,12142666
39,RL,10037,Bandra,1Fam,2Story,8,3,1999,2016,CBlock,1265.0,1590,303,1893,2,1,4,7,1,0.0,53.0,Y,Y,Gd,14989943
40,RL,8316,Andheri,1Fam,2Story,9,6,2001,2020,BrkTil,768.0,1053,209,1262,3,0,3,8,2,0.0,0.0,Y,Y,Ex,12627627
41,RM,3279,Sector17,1Fam,SplitLevel,9,8,2005,2016,PConc,1548.0,1980,59,2039,2,1,2,5,1,0.0,38.0,Y,Y,Gd,14221455
42,RM,8728,Bandra,1Fam,1Story,10,7,2016,2019,PConc,565.0,1106,108,1214,3,1,3,8,1,0.0,88.0,Y,N,Ex,16796580
43,FV,5857,Viman Nagar,1Fam,1Story,5,3,1999,2014,PConc,925.0,667,615,1282,3,0,4,9,1,3.0,539.0,Y,Y,Ex,13438122
44,RL,7393,Sector17,Duplex,2Story,5,3,1970,1985,PConc,771.0,791,285,1076,1,0,2,5,1,,373.0,Y,N,Gd,8074700
45,RM,9016,Viman Nagar,1Fam,2Story,4,8,2012,2012,BrkTil,875.0,1356,585,1941,1,1,2,5,2,1.0,174.0,Y,N,Gd,11318199
46,RL,5900,Whitefield,1Fam,SplitLevel,9,6,2008,2009,PConc,879.0,1030,543,1573,1,0,4,6,1,2.0,413.0,Y,Y,Gd,13111451
47,RL,3708,Bandra,1Fam,1Story,4,6,1986,1988,CBlock,519.0,805,305,1110,1,0,2,4,0,2.0,423.0,Y,N,TA,9240877
48,RM,10011,Andheri,Apartment,2Story,4,9,1989,2008,PConc,703.0,969,432,1401,1,1,5,8,0,,,Y,N,TA,7834593
49,FV,9329,Indiranagar,1Fam,1Story,8,5,1993,2009,PConc,303.0,429,171,600,3,1,2,6,1,0.0,0.0,Y,Y,TA,10989909
50,RL,6825,Malad,1Fam,1Story,4,9,2019,2024,PConc,1237.0,1967,21,1988,1,1,2,5,2,1.0,138.0,Y,Y,TA,10699313
51,FV,8706,Koramangala,Apartment,1Story,7,8,1991,1991,PConc,854.0,824,690,1514,1,1,5,8,2,0.0,0.0,Y,Y,TA,10436369
52,RL,6261,Saket,1Fam,2Story,6,9,1998,2017,CBlock,467.0,576,24,600,2,1,3,6,1,1.0,227.0,N,Y,Fa,6477946
53,RL,7193,Andheri,Duplex,2Story,3,8,1991,1996,PConc,,644,227,871,2,1,3,6,2,3.0,530.0,Y,Y,Gd,8876123
54,RL,6711,Bandra,Apartment,1Story,5,6,2013,2024,CBlock,1096.0,1127,262,1389,3,0,5,10,2,2.0,354.0,Y,Y,Gd,14702122
55,RM,6342,Malad,1Fam,1Story,7,5,1978,1991,CBlock,463.0,862,80,942,3,1,2,6,2,0.0,0.0,Y,Y,Ex,10622340
56,RL,7718,Andheri,Apartment,1Story,3,9,2006,2024,PConc,1415.0,1357,639,1996,2,1,4,8,1,2.0,417.0,N,N,TA,9408235
57,RL,4583,Bandra,Duplex,1Story,9,3,1979,1993,PConc,968.0,1293,516,1809,2,0,5,8,0,,56.0,N,Y,Gd,14050549
58,RL,6496,Powai,1Fam,1Story,9,4,2005,2018,PConc,813.0,1253,526,1779,1,0,4,7,0,1.0,207.0,Y,Y,Gd,15486632
59,RM,7628,Powai,1Fam,1Story,9,7,2006,2010,PConc,445.0,412,188,600,1,0,3,6,0,1.0,299.0,Y,Y,Ex,12947116
60,RL,10676,Viman Nagar,1Fam,2Story,7,3,1997,2002,PConc,699.0,1287,50,1337,3,0,5,9,0,1.0,207.0,Y,N,TA,8819535
61,RL,4664,Andheri,Apartment,1Story,7,6,1997,2013,BrkTil,830.0,1143,108,1251,2,0,4,7,0,3.0,595.0,Y,N,TA,8414259
62,C,8041,Powai,1Fam,1Story,5,7,2011,2021,BrkTil,703.0,622,500,1122,3,0,2,7,2,1.0,160.0,Y,Y,Gd,12626631
63,RM,8260,Bandra,Duplex,SplitLevel,6,4,2012,2024,CBlock,819.0,771,621,1392,1,1,5,7,2,1.0,210.0,Y,N,Gd,13391636
64,RL,3246,Viman Nagar,1Fam,1Story,10,4,1990,2001,PConc,619.0,739,297,1036,3,0,4,8,2,3.0,558.0,Y,Y,TA,11335931
65,RL,7821,Bandra,Duplex,2Story,4,5,1993,2007,PConc,1182.0,937,770,1707,3,0,5,10,1,2.0,351.0,Y,Y,TA,14340220
66,RM,8760,Viman Nagar,Duplex,1Story,9,7,2011,2014,BrkTil,862.0,1605,378,1983,3,0,5,10,2,2.0,349.0,Y,Y,Gd,14006158
67,RL,8177,Andheri,1Fam,SplitLevel,8,5,2009,2024,CBlock,1294.0,1109,831,1940,1,0,3,5,0,0.0,0.0,Y,N,TA,10763898
68,RM,6832,Malad,1Fam,1Story,6,3,1971,1973,PConc,1160.0,1165,366,1531,3,1,3,7,2,2.0,374.0,N,N,Ex,9516542
69,RL,7666,Indiranagar,Apartment,2Story,8,8,1977,1984,PConc,1099.0,1308,1291,2599,1,0,2,5,0,0.0,132.0,Y,Y,Gd,15131745
70,RL,7339,Sector17,1Fam,1Story,5,8,2017,2019,PConc,989.0,1427,742,2169,2,0,3,7,2,0.0,,Y,Y,Ex,14057969
71,RL,3621,Malad,Duplex,SplitLevel,5,8,1996,2003,CBlock,1063.0,1298,251,1549,3,1,3,8,0,2.0,409.0,Y,Y,Fa,8488840
72,FV,7386,Whitefield,1Fam,1Story,5,7,1991,2008,BrkTil,780.0,1007,351,1358,3,1,3,8,2,,372.0,Y,Y,Ex,14318009
73,FV,6265,Bandra,Duplex,2Story,3,8,2006,2015,PConc,1273.0,2244,25,2269,1,1,4,7,0,3.0,753.0,Y,Y,Ex,19328061
74,FV,5590,Whitefield,Duplex,1Story,8,3,1996,2015,PConc,956.0,1970,133,2103,3,0,5,10,0,0.0,0.0,Y,Y,Fa,12254876
75,RL,11969,Malad,1Fam,SplitLevel,6,5,1998,2014,PConc,538.0,607,287,894,1,1,3,6,1,2.0,376.0,Y,Y,TA,9062370
76,C,9505,Viman Nagar,Duplex,2Story,10,7,1972,1979,PConc,965.0,1119,1023,2142,3,1,4,9,2,2.0,449.0,Y,Y,TA,12131013
77,RL,4699,Sector17,1Fam,1Story,6,5,2013,2023,CBlock,898.0,1404,118,1522,2,1,5,8,0,3.0,610.0,N,Y,Ex,14375999
78,RM,7693,Sector17,Apartment,1Story,7,7,1982,1986,CBlock,824.0,1117,52,1169,2,0,3,6,2,2.0,336.0,N,Y,Gd,9658081
79,RL,9916,Saket,1Fam,1Story,7,5,2014,2024,PConc,307.0,555,55,610,2,0,3,6,0,1.0,201.0,Y,Y,Fa,6531031
80,RM,4007,Sector17,1Fam,1Story,9,4,1979,1983,CBlock,867.0,826,639,1465,3,1,5,10,1,1.0,233.0,Y,N,TA,8143467
81,FV,7153,Indiranagar,Duplex,1Story,10,5,2005,2017,PConc,1269.0,1591,2,1593,3,0,4,8,1,0.0,25.0,Y,Y,TA,14556401
82,RL,7248,Sector17,Duplex,SplitLevel,7,8,1978,1983,CBlock,1614.0,1505,888,2393,2,0,4,8,1,3.0,633.0,Y,Y,Fa,8622291
83,RL,4451,Malad,1Fam,2Story,5,4,1996,2000,CBlock,1530.0,1791,287,2078,2,0,2,5,1,2.0,509.0,Y,Y,TA,11176491
84,RL,7759,Saket,Apartment,SplitLevel,6,5,2003,2011,PConc,740.0,1247,61,1308,1,0,5,8,0,0.0,13.0,Y,Y,Gd,9561566
85,RL,9232,Malad,Duplex,1Story,8,7,2020,2024,CBlock,1268.0,1108,686,1794,1,0,2,5,2,2.0,439.0,Y,Y,Gd,12411574
86,RL,10016,Malad,Apartment,2Story,5,7,1970,1971,PConc,837.0,1920,93,2013,2,1,4,7,1,1.0,78.0,N,N,Ex,10609191
87,C,6501,Koramangala,1Fam,1Story,3,7,2001,2001,PConc,737.0,1075,567,1642,2,1,3,7,1,,493.0,Y,Y,Gd,10854968
88,RL,12003,Saket,1Fam,1Story,7,6,1994,2001,PConc,628.0,1290,16,1306,3,1,2,6,1,2.0,403.0,Y,Y,Fa,7607451
89,RM,2884,Malad,1Fam,2Story,5,3,1998,2016,PConc,747.0,853,480,1333,2,1,4,7,2,2.0,356.0,N,Y,Gd,11219750
90,RL,7712,Koramangala,Apartment,1Story,5,7,1976,1986,CBlock,1323.0,1750,42,1792,1,0,4,6,0,1.0,190.0,Y,N,Fa,8210169
91,RL,4175,Koramangala,1Fam,SplitLevel,3,4,2018,2024,PConc,972.0,951,855,1806,1,1,3,5,0,1.0,,N,Y,TA,11452027
92,RL,7180,Saket,Apartment,1Story,4,7,1972,1983,CBlock,,1241,212,1453,1,1,5,7,0,3.0,651.0,Y,N,Fa,6084707
93,RL,5956,Whitefield,Duplex,2Story,6,6,1989,1995,BrkTil,410.0,459,141,600,1,0,4,6,0,1.0,195.0,N,Y,Fa,8980296
94,RM,8013,Viman Nagar,1Fam,2Story,8,8,1989,2001,PConc,605.0,704,250,954,1,0,2,4,2,0.0,30.0,Y,Y,TA,9606490
95,RL,6746,Indiranagar,1Fam,1Story,9,4,2022,2024,PConc,1036.0,1167,742,1909,1,0,3,5,2,2.0,386.0,Y,Y,TA,13748590
96,RM,5348,Viman Nagar,1Fam,1Story,4,6,1999,2007,PConc,378.0,511,89,600,2,0,5,8,2,1.0,224.0,Y,Y,TA,9003769
97,RL,5479,Sector17,Duplex,1Story,7,8,2004,2010,PConc,1176.0,1305,887,2192,1,1,5,8,1,0.0,10.0,N,Y,TA,11176969
98,FV,10864,Indiranagar,1Fam,1Story,5,9,2004,2018,PConc,918.0,1644,474,2118,1,0,5,8,2,1.0,215.0,Y,Y,TA,12524758
99,C,7887,Sector17,Apartment,2Story,10,9,2018,2019,CBlock,1291.0,1015,605,1620,1,0,4,6,0,2.0,384.0,Y,Y,TA,12221674
100,RL,3595,Malad,1Fam,SplitLevel,3,4,2008,2024,PConc,855.0,1855,43,1898,1,0,5,8,2,0.0,20.0,Y,Y,Gd,12000248
101,RL,8101,Bandra,Apartment,1Story,3,5,1996,2007,CBlock,799.0,958,906,1864,2,0,4,8,1,1.0,158.0,N,Y,Gd,15087277
102,RL,6610,Saket,1Fam,SplitLevel,10,3,1995,1995,PConc,1157.0,924,617,1541,3,0,3,7,0,1.0,209.0,Y,Y,Gd,11210131
